index,website
244,http://www.itw.com
245,http://www.invesco.com
246,http://www.jbhunt.com
247,http://www.johnsoncontrols.com
248,http://www.jacobs.com
249,http://www.jnj.com
250,http://www.juniper.net
251,http://www.joyglobal.com
252,http://www.jpmorganchase.com
253,http://www.nordstrom.com
254,http://www.kelloggcompany.com
255,http://www.key.com
256,http://www.kraftheinzcompay.com
257,http://www.kimcorealty.com
258,http://www.kla-tencor.com
259,http://www.kimberly-clark.com
260,http://www.kindermorgan.com
261,http://www.carmax.com
262,http://www.coca-colacompany.com
263,http://www.michaelkors.com
264,http://www.kroger.com
265,http://www.kohls.com
266,http://www.kcsouthern.com
267,http://www.loews.com
268,http://www.limitedbrands.com
269,http://www.leggett.com
270,http://www.lennar.com
271,http://www.labcorp.com
272,http://www.l-3com.com
273,http://www.linear.com
274,http://www.lilly.com
275,http://www.leggmason.com
276,http://www.lockheedmartin.com
277,http://www.lfg.com
278,http://www.lowes.com
279,http://www.lamresearch.com
280,http://www.leucadia.com
281,http://www.southwest.com
282,http://www.level3.com
283,http://www.lyondellbasell.com
284,http://www.macysinc.com
285,http://www.mastercard.com
286,http://www.macerich.com
287,http://www.marriott.com
288,http://www.masco.com
289,http://corporate.mattel.com
290,http://www.mcdonalds.com
291,http://www.microchip.com
292,http://www.mckesson.com
293,http://www.moodys.com
294,http://www.mondelezinternational.com
295,http://www.medtronic.ca
296,http://www.metlife.com
297,http://www.mhfi.com
298,http://www.mohawkind.com
299,http://www.meadjohnson.com
300,http://www.mccormickcorporation.com
301,http://www.martinmarietta.com
302,http://www.mmc.com
303,http://www.3m.com
304,http://www.mallinckrodt.com
305,http://www.monsterbevcorp.com
306,http://www.altria.com
307,http://www.monsanto.com
308,http://www.mosaicco.com
309,http://www.marathonpetroleum.com
310,http://www.merck.com
311,http://www.marathonoil.com
312,http://www.morganstanley.com
313,http://www.microsoft.com
314,http://www.motorolasolutions.com
315,http://www.mtb.com
316,http://www.micron.com
317,http://www.murphyoilcorp.com
318,http://www.mylan.com
319,http://www.navient.com
320,http://www.nobleenergyinc.com
321,http://www.nasdaqomx.com
322,http://www.nexteraenergy.com
323,http://www.newmont.com
324,http://www.netflix.com
325,http://www.newfield.com
326,http://www.nisource.com
327,http://www.nikeinc.com
328,http://www.nielsen.com
329,http://www.northropgrumman.com
330,http://www.nov.com
331,http://www.nrgenergy.com
332,http://www.nscorp.com
333,http://www.netapp.com
334,http://www.northerntrust.com
335,http://www.nucor.com
336,http://www.nvidia.com
337,http://www.newellrubbermaid.com
338,http://www.newscorp.com
339,http://www.realtyincome.com
340,http://www.o-i.com
341,http://www.oneok.com
342,http://www.omnicomgroup.com
343,http://www.oracle.com
344,http://www.oreillyauto.com
345,http://www.oxy.com
346,http://www.paychex.com
347,http://www.peoples.com
348,http://www.pitneybowes.com
349,http://www.paccar.com
350,http://www.pgecorp.com
351,http://www.plumcreek.com
352,http://www.pricelinegroup.com
353,http://www.precast.com
354,http://www.pattersoncompanies.com
355,http://www.pseg.com
356,http://www.pepsico.com
357,http://www.pfizer.com
358,http://www.principal.com
